episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL009,1,817.0,0,0.0,0,0.0,0,0.0,37.37314042772305
0,KL001,1,821.0,0,0.0,0,0.0,0,0.0,37.386181970963264
0,KL002,1,903.0,0,0.0,0,0.0,0,0.0,37.34410234023237
0,KL008,1,973.0,0,0.0,0,0.0,0,0.0,37.37541827961991
0,KL0010,1,1115.0,0,0.0,0,0.0,0,0.0,37.36189744994143
0,KL004,1,1147.0,0,0.0,0,0.0,0,0.0,37.320713485448955
0,KL007,1,1149.0,0,0.0,0,0.0,0,0.0,37.33795826863539
0,KL006,1,1258.0,0,0.0,0,0.0,0,0.0,37.33752511688091
0,KL003,1,1469.0,0,0.0,0,0.0,0,0.0,37.29924496218616
0,KL005,1,2369.0,0,0.0,0,0.0,0,0.0,37.13647415522376
1,KL006,1,726.0,0,0.0,0,0.0,0,0.0,37.39951902488325
1,KL004,1,911.0,0,0.0,0,0.0,0,0.0,37.36380632776747
1,KL005,1,964.0,0,0.0,0,0.0,0,0.0,37.38589647907428
1,KL009,1,977.0,0,0.0,0,0.0,0,0.0,37.33341870328284
1,KL008,1,1117.0,0,0.0,0,0.0,0,0.0,37.37597551229275
1,KL0010,1,1125.0,0,0.0,2,129.0,0,0.0,-27.14782055438932
1,KL001,1,1180.0,0,0.0,0,0.0,0,0.0,37.356735851147505
1,KL003,1,1202.0,0,0.0,0,0.0,0,0.0,37.32791636742433
1,KL007,1,1430.0,0,0.0,0,0.0,0,0.0,37.29745788443276
1,KL002,1,1714.0,0,0.0,1,47.0,0,0.0,13.72361285060406
2,KL006,1,691.0,0,0.0,0,0.0,0,0.0,37.38110537789861
2,KL003,1,711.0,0,0.0,0,0.0,0,0.0,37.399261490801834
2,KL007,1,785.0,0,0.0,0,0.0,0,0.0,37.388023620624764
2,KL009,1,847.0,0,0.0,0,0.0,0,0.0,37.38049687943122
2,KL008,1,855.0,0,0.0,0,0.0,0,0.0,37.362582476935124
2,KL004,1,874.0,0,0.0,0,0.0,0,0.0,37.34333403237029
2,KL005,1,883.0,0,0.0,0,0.0,0,0.0,37.35369606174199
2,KL0010,1,895.0,0,0.0,0,0.0,0,0.0,37.38649890397828
