episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL009,1,811.0,0,0.0,0,0.0,0,0.0,37.37646930676029
0,KL001,1,824.0,0,0.0,0,0.0,0,0.0,37.38600702964988
0,KL002,1,910.0,0,0.0,0,0.0,0,0.0,37.34324756737009
0,KL008,1,967.0,0,0.0,0,0.0,0,0.0,37.377507272557565
0,KL0010,1,1112.0,1,57.0,0,0.0,0,0.0,-16.542334295963535
0,KL007,1,1133.0,0,0.0,0,0.0,0,0.0,37.3388231968672
0,KL004,1,1148.0,0,0.0,0,0.0,0,0.0,37.32092067897886
0,KL006,1,1243.0,0,0.0,0,0.0,0,0.0,37.33936493366612
0,KL003,1,1463.0,1,54.0,0,0.0,0,0.0,-13.76804605739163
0,KL005,1,2243.0,2,111.0,0,0.0,0,0.0,-67.8126804166838
1,KL006,1,734.0,0,0.0,0,0.0,0,0.0,37.40211284458861
1,KL002,1,785.0,1,57.0,2,124.0,0,0.0,-78.52112166113008
1,KL004,1,825.0,1,213.0,0,0.0,0,0.0,-164.04763384610976
1,KL009,1,947.0,2,69.0,0,0.0,0,0.0,-27.913872717063825
1,KL005,1,956.0,0,0.0,0,0.0,0,0.0,37.38394827072256
1,KL008,1,1093.0,2,99.0,0,0.0,0,0.0,-56.240922153891354
1,KL0010,1,1096.0,1,57.0,2,122.0,0,0.0,-77.54974026955458
1,KL001,1,1165.0,1,213.0,0,0.0,0,0.0,-164.07141774604355
1,KL003,1,1206.0,1,20.0,0,0.0,0,0.0,18.415761078473704
1,KL007,1,1332.0,1,50.0,0,0.0,0,0.0,-9.973615327345776
2,KL006,1,686.0,0,0.0,0,0.0,0,0.0,37.381990047760446
2,KL003,1,711.0,0,0.0,0,0.0,0,0.0,37.399374749060414
2,KL007,1,784.0,0,0.0,0,0.0,0,0.0,37.388184589432186
2,KL009,1,849.0,0,0.0,0,0.0,0,0.0,37.38069217839995
2,KL008,1,855.0,0,0.0,0,0.0,0,0.0,37.362716967961816
2,KL004,1,862.0,0,0.0,0,0.0,0,0.0,37.34551075057383
2,KL005,1,874.0,1,55.0,0,0.0,0,0.0,-14.658480682849003
2,KL0010,1,893.0,1,55.0,0,0.0,0,0.0,-14.623815095683405
2,KL001,1,1122.0,0,0.0,0,0.0,0,0.0,37.366943978897346
2,KL002,0,3000.0,0,0.0,0,0.0,0,0.0,-0.4081000131171611
3,KL002,1,816.0,0,0.0,0,0.0,0,0.0,37.39346352080854
3,KL006,1,837.0,0,0.0,0,0.0,0,0.0,37.39486040139697
3,KL003,1,885.0,0,0.0,0,0.0,0,0.0,37.35914556598455
3,KL005,1,897.0,0,0.0,0,0.0,0,0.0,37.377897883264794
3,KL008,1,972.0,1,96.0,0,0.0,0,0.0,-53.40846228922979
3,KL007,1,1068.0,2,144.0,0,0.0,0,0.0,-98.81815609912115
3,KL001,1,1180.0,1,48.0,1,94.0,0,0.0,-55.04557825405956
3,KL004,1,1263.0,0,0.0,0,0.0,0,0.0,37.345761227711336
3,KL009,1,2433.0,0,0.0,2,127.0,0,0.0,-26.392735492844828
3,KL0010,1,2831.0,0,0.0,0,0.0,0,0.0,37.09904802095284
4,KL003,1,699.0,0,0.0,0,0.0,0,0.0,37.40177653412776
4,KL007,1,729.0,0,0.0,0,0.0,0,0.0,37.39199532104364
4,KL005,1,770.0,0,0.0,0,0.0,0,0.0,37.4006198398229
4,KL009,1,843.0,0,0.0,0,0.0,0,0.0,37.36954910062166
4,KL004,1,1016.0,0,0.0,1,195.0,0,0.0,-60.14256933684821
4,KL0010,1,1117.0,0,0.0,0,0.0,0,0.0,37.34840999260199
4,KL008,1,1169.0,0,0.0,0,0.0,0,0.0,37.31310162456177
4,KL002,1,1210.0,0,0.0,0,0.0,0,0.0,37.318395781781476
4,KL006,1,1280.0,0,0.0,0,0.0,0,0.0,37.3386696134546
4,KL001,1,1818.0,0,0.0,0,0.0,0,0.0,37.25176035508646
5,KL0010,1,663.0,0,0.0,0,0.0,0,0.0,37.40642765471928
5,KL005,1,783.0,0,0.0,0,0.0,0,0.0,37.38951039083246
5,KL007,1,950.0,0,0.0,0,0.0,0,0.0,37.360616983050726
5,KL008,1,956.0,0,0.0,0,0.0,0,0.0,37.384098850838825
5,KL001,1,967.0,0,0.0,0,0.0,0,0.0,37.40156320423417
5,KL003,1,970.0,0,0.0,0,0.0,0,0.0,37.35064535123139
5,KL009,1,1052.0,0,0.0,0,0.0,0,0.0,37.36406525267385
5,KL006,1,1118.0,0,0.0,0,0.0,0,0.0,37.33369820831359
5,KL004,1,1321.0,0,0.0,0,0.0,0,0.0,37.31384168417752
5,KL002,1,1525.0,0,0.0,0,0.0,0,0.0,37.289229325296446
6,KL004,1,720.0,0,0.0,0,0.0,0,0.0,37.38555352855117
6,KL0010,1,883.0,3,170.0,0,0.0,0,0.0,-123.37303224020717
6,KL008,1,926.0,0,0.0,1,15.0,0,0.0,29.84533069815803
6,KL007,1,1003.0,1,118.0,0,0.0,0,0.0,-74.2056327022789
6,KL002,1,1116.0,0,0.0,0,0.0,0,0.0,37.37610826694508
6,KL005,1,1182.0,0,0.0,0,0.0,0,0.0,37.33288005770951
6,KL003,1,1583.0,0,0.0,1,15.0,0,0.0,29.77252879901019
6,KL001,1,1758.0,1,39.0,1,16.0,0,0.0,-7.638289300505413
6,KL006,1,1806.0,0,0.0,0,0.0,0,0.0,37.22925927503211
6,KL009,1,1815.0,1,13.0,1,14.0,0,0.0,17.950911456189395
7,KL0010,1,676.0,0,0.0,0,0.0,0,0.0,37.400320742553745
7,KL006,1,863.0,0,0.0,0,0.0,0,0.0,37.372364920591345
7,KL005,1,922.0,1,59.0,0,0.0,0,0.0,-18.410714614574395
7,KL001,1,955.0,0,0.0,0,0.0,0,0.0,37.33219868964192
7,KL003,1,957.0,0,0.0,0,0.0,0,0.0,37.35797706949327
7,KL008,1,1057.0,0,0.0,0,0.0,0,0.0,37.35995888107868
7,KL004,1,1064.0,0,0.0,0,0.0,0,0.0,37.3935515955143
7,KL002,1,1214.0,0,0.0,0,0.0,0,0.0,37.34842705989624
7,KL009,1,1248.0,0,0.0,0,0.0,0,0.0,37.344122403037005
