episode,scenario_sha256,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL003,1.0,623.0,0.0,0.0,1.0,295.0,0.0,0.0,-110.0979897360346
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL0010,1.0,685.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39934391769726
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL009,1.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,37.388819051863955
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL007,1.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0,37.35418632643089
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL001,1.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38840694619339
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL002,1.0,774.0,0.0,0.0,0.0,0.0,0.0,0.0,37.37699759073944
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL005,1.0,996.0,0.0,0.0,0.0,0.0,0.0,0.0,37.34550309035352
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL006,1.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,37.35974153152236
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL008,1.0,1027.0,1.0,27.0,0.0,0.0,0.0,0.0,11.828154414649472
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL004,1.0,1043.0,1.0,27.0,2.0,19.0,0.0,0.0,2.3268619565578064
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL003,1.0,660.0,2.0,99.0,0.0,0.0,0.0,0.0,-56.21973678085363
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL0010,1.0,664.0,1.0,56.0,0.0,0.0,0.0,0.0,-15.565139758914185
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL007,1.0,678.0,3.0,144.0,0.0,0.0,0.0,0.0,-98.78877753499486
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL005,1.0,701.0,1.0,55.0,0.0,0.0,0.0,0.0,-14.618136483667456
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL004,1.0,754.0,2.0,73.0,0.0,0.0,0.0,0.0,-31.636544225786537
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL001,1.0,800.0,3.0,132.0,0.0,0.0,0.0,0.0,-87.44065962276267
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL008,1.0,824.0,0.0,0.0,1.0,383.0,0.0,0.0,-154.10785431928304
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL006,1.0,828.0,5.0,334.0,0.0,0.0,0.0,0.0,-278.48936876936807
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL009,1.0,868.0,1.0,185.0,0.0,0.0,0.0,0.0,-137.5801117824436
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL002,1.0,1015.0,4.0,212.0,0.0,0.0,0.0,0.0,-163.1089484372293
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL007,1.0,686.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39774434035526
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL006,1.0,700.0,2.0,146.0,0.0,0.0,0.0,0.0,-100.66767260047953
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL001,1.0,713.0,0.0,0.0,1.0,344.0,0.0,0.0,-134.6314555353881
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL002,1.0,712.0,1.0,55.0,0.0,0.0,0.0,0.0,-14.606553772497847
